data_pedido,data_envio,modo_envio,nome_cliente,segmento_cliente,cidade,estado,regiao,departamento,tipo_produto,vendas,quantidade,desconto,lucro
2017-09-18,2017-09-22,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Materiais de construção,iluminação,422.28,3,0.2,52.78
2017-09-18,2017-09-22,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,fertilizantes,11.1,2,0.2,3.75
2017-09-18,2017-09-22,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,decoração de jardim,293.43,6,0.2,33.01
2017-09-18,2017-09-22,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,ferramentas de jardinagem,23.32,6,0.7,-19.43
2017-09-18,2017-09-22,Entrega padrão,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Jardinagem e paisagismo,decoração de jardim,53.58,2,0.2,12.06
2019-10-20,2019-10-24,Econômica,Benjamin Moura,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,pesticidas,100.2,3,0.2,33.82
2017-12-28,2018-01-01,Entrega padrão,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,fertilizantes,385.32,9,0.2,120.41
2017-12-28,2018-01-01,Entrega padrão,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,encanamentos,1810.16,3,0.32,-159.72
2017-12-28,2018-01-01,Entrega padrão,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,ferramentas,721.0,3,0.3,-51.5
2017-12-28,2018-01-01,Entrega padrão,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sudeste,Automotivo,pneus,1261.97,4,0.2,141.97
2019-09-11,2019-09-16,Entrega padrão,Maria Eduarda Rodrigues,B2B,Botucatu,São Paulo,Sudeste,Automotivo,pneus,500.37,4,0.2,56.29
2018-07-18,2018-07-23,Entrega padrão,Heitor Silveira,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,vasos,264.79,2,0.0,13.24
2018-03-12,2018-03-14,Envio rápido,Kaique Aragão,B2B,Balneário Camboriú,Santa Catarina,Sul,Automotivo,ferramentas automotivas,156.33,2,0.0,67.22
2018-03-12,2018-03-14,Envio rápido,Kaique Aragão,B2B,Balneário Camboriú,Santa Catarina,Sul,Jardinagem e paisagismo,ferramentas de jardinagem,59.36,2,0.0,27.9
2016-10-21,2016-10-26,Econômica,Lara Pinto,B2C,Itapevi,São Paulo,Sudeste,Jardinagem e paisagismo,vasos,720.66,4,0.0,28.83
2018-06-21,2018-06-26,Entrega padrão,Alexandre Vieira,B2C,São José dos Pinhais,Paraná,Sul,Automotivo,ferramentas automotivas,153.0,3,0.0,16.83
2018-06-21,2018-06-26,Entrega padrão,Alexandre Vieira,B2C,São José dos Pinhais,Paraná,Sul,Automotivo,pneus,74.12,2,0.0,20.75
2018-12-12,2018-12-18,Entrega padrão,Diego Nascimento,B2B,São Paulo,São Paulo,Sudeste,Jardinagem e paisagismo,mudas,51.88,7,0.0,21.27
2018-12-12,2018-12-18,Entrega padrão,Diego Nascimento,B2B,São Paulo,São Paulo,Sudeste,Automotivo,pneus,3501.83,5,0.0,1015.53
2018-06-18,2018-06-19,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,vasos,709.1,6,0.0,177.28
2018-06-18,2018-06-19,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,pesticidas,110.16,5,0.0,52.88
2018-06-18,2018-06-19,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Materiais de construção,ferramentas,1085.99,5,0.1,24.13
2018-06-18,2018-06-19,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,pesticidas,49.5,2,0.0,23.76
2018-06-18,2018-06-19,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Automotivo,ferramentas automotivas,102.0,2,0.0,11.22
2018-06-18,2018-06-19,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,ferramentas de jardinagem,164.83,4,0.2,55.63
2018-06-18,2018-06-19,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,decoração de jardim,5.71,1,0.0,2.86
2017-11-25,2017-12-01,Entrega padrão,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,ferramentas automotivas,47.53,2,0.0,20.91
2017-11-25,2017-12-01,Entrega padrão,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,87.8,6,0.2,31.83
2017-11-25,2017-12-01,Entrega padrão,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,498.88,3,0.0,234.47
2017-11-25,2017-12-01,Entrega padrão,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,iluminação,271.18,4,0.0,75.93
2017-05-01,2017-05-06,Entrega padrão,Ana Beatriz Souza,B2B,Manaus,Amazonas,Norte,Materiais de construção,ferramentas,724.59,5,0.3,-51.76
2016-12-06,2016-12-11,Entrega padrão,Vitor Hugo Dias,B2B,Imperatriz,Maranhão,Nordeste,Jardinagem e paisagismo,decoração de jardim,3784.28,8,0.2,378.43
2016-12-06,2016-12-11,Entrega padrão,Vitor Hugo Dias,B2B,Imperatriz,Maranhão,Nordeste,Automotivo,pneus,571.09,4,0.2,214.16
2018-06-05,2018-06-07,Envio rápido,Gustavo Henrique Almeida,B2C,Goiânia,Goiás,Centro-Oeste,Jardinagem e paisagismo,pesticidas,257.99,2,0.0,121.26
2018-09-19,2018-09-24,Entrega padrão,Alexandre Mendes,B2C,São Paulo,São Paulo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,15.69,1,0.2,5.89
2019-09-15,2019-09-18,Econômica,Felipe Rodrigues,B2C,São Gonçalo,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,64.77,3,0.0,29.79
2017-04-27,2017-05-03,Entrega padrão,Renan Santos,B2C,Mogi das Cruzes,São Paulo,Sudeste,Materiais de construção,ferramentas,2828.58,8,0.2,-388.93
2017-04-27,2017-05-03,Entrega padrão,Renan Santos,B2C,Mogi das Cruzes,São Paulo,Sudeste,Materiais de construção,iluminação,329.94,2,0.2,4.12
2017-04-27,2017-05-03,Entrega padrão,Renan Santos,B2C,Mogi das Cruzes,São Paulo,Sudeste,Jardinagem e paisagismo,vasos,247.47,1,0.2,-61.87
2019-12-10,2019-12-12,Envio rápido,Marcela da Conceição,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,4.24,3,0.8,-6.58
2019-12-10,2019-12-12,Envio rápido,Marcela da Conceição,B2B,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,iluminação,33.01,3,0.6,-19.8
2019-12-10,2019-12-12,Envio rápido,Marcela da Conceição,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,vasos,92.62,3,0.2,9.26
2016-11-27,2016-12-02,Econômica,Renan Santos,B2C,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,iluminação,65.62,5,0.6,-49.22
2018-06-13,2018-06-16,Envio rápido,João Lucas Rocha,B2B,Florianópolis,Santa Catarina,Sul,Jardinagem e paisagismo,mobiliário de exterior,707.74,1,0.0,191.09
2018-06-13,2018-06-16,Envio rápido,João Lucas Rocha,B2B,Florianópolis,Santa Catarina,Sul,Jardinagem e paisagismo,ferramentas de jardinagem,56.92,3,0.0,27.32
2016-10-13,2016-10-17,Entrega padrão,Mariane Costa,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,decoração de jardim,50.66,5,0.0,14.18
2016-10-13,2016-10-17,Entrega padrão,Mariane Costa,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,vasos,72.73,1,0.0,21.09
2017-09-04,2017-09-09,Entrega padrão,Sarah Oliveira,B2B,Timon,Maranhão,Nordeste,Jardinagem e paisagismo,fertilizantes,683.35,7,0.2,213.55
2019-11-14,2019-11-17,Envio rápido,Ana Beatriz Barros,B2B,Manaus,Amazonas,Norte,Jardinagem e paisagismo,vasos,783.28,3,0.2,-166.45
2019-05-29,2019-05-31,Econômica,Lara Pinto,B2C,Maceió,Alagoas,Nordeste,Materiais de construção,ferramentas,1026.66,2,0.0,112.93
2019-10-27,2019-11-03,Entrega padrão,Benício da Mota,B2C,São José dos Campos,São Paulo,Sudeste,Automotivo,ferramentas automotivas,67.97,1,0.0,23.11
2019-10-27,2019-11-03,Entrega padrão,Benício da Mota,B2C,São José dos Campos,São Paulo,Sudeste,Jardinagem e paisagismo,sementes,20.94,2,0.0,10.05
2018-04-06,2018-04-11,Econômica,Vicente Novaes,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,vasos,538.45,7,0.2,47.11
2018-09-18,2018-09-23,Entrega padrão,João Lucas Ramos,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,decoração de jardim,68.34,3,0.0,22.55
2018-09-18,2018-09-23,Entrega padrão,João Lucas Ramos,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,pneus,250.19,2,0.2,28.15
2018-09-18,2018-09-23,Entrega padrão,João Lucas Ramos,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,22.03,1,0.0,10.58
2017-02-01,2017-02-06,Econômica,Juan da Conceição,B2C,Petrolina,Pernambuco,Nordeste,Jardinagem e paisagismo,pesticidas,44.06,2,0.0,21.15
2017-02-01,2017-02-06,Econômica,Juan da Conceição,B2C,Petrolina,Pernambuco,Nordeste,Materiais de construção,iluminação,181.36,3,0.0,56.22
2017-02-01,2017-02-06,Econômica,Juan da Conceição,B2C,Petrolina,Pernambuco,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,112.06,2,0.0,54.91
2019-11-07,2019-11-13,Entrega padrão,Fernando Farias,B2B,Itaquaquecetuba,São Paulo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,19.32,1,0.7,-12.88
2019-11-10,2019-11-12,Econômica,Vicente Nogueira,B2B,São Paulo,São Paulo,Sudeste,Materiais de construção,iluminação,328.2,7,0.0,137.84
2019-06-18,2019-06-21,Envio rápido,Arthur Cavalcanti,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,174.46,3,0.2,61.06
2018-08-30,2018-09-03,Entrega padrão,Alícia da Mota,B2B,Manaus,Amazonas,Norte,Jardinagem e paisagismo,pesticidas,219.72,7,0.2,76.9
2018-08-30,2018-09-03,Entrega padrão,Alícia da Mota,B2B,Manaus,Amazonas,Norte,Automotivo,ferramentas automotivas,326.32,3,0.2,-36.71
2018-08-30,2018-09-03,Entrega padrão,Alícia da Mota,B2B,Manaus,Amazonas,Norte,Jardinagem e paisagismo,ferramentas de jardinagem,6.08,3,0.8,-10.33
2018-12-02,2018-12-05,Econômica,Kevin das Neves,B2C,São José dos Campos,São Paulo,Sudeste,Jardinagem e paisagismo,pesticidas,81.33,4,0.0,39.85
2017-11-14,2017-11-18,Entrega padrão,João Guilherme da Conceição,B2C,Duque de Caxias,Rio de Janeiro,Sudeste,Automotivo,ferramentas automotivas,812.25,6,0.2,-91.38
2017-11-14,2017-11-18,Entrega padrão,João Guilherme da Conceição,B2C,Duque de Caxias,Rio de Janeiro,Sudeste,Materiais de construção,iluminação,348.02,3,0.2,-13.05
2017-11-14,2017-11-18,Entrega padrão,João Guilherme da Conceição,B2C,Duque de Caxias,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,125.4,3,0.7,-87.78
2019-11-24,2019-11-29,Entrega padrão,Maria Vitória Silveira,B2C,Santo André,São Paulo,Sudeste,Automotivo,ferramentas automotivas,251.98,8,0.2,59.85
2019-11-24,2019-11-29,Entrega padrão,Maria Vitória Silveira,B2C,Santo André,São Paulo,Sudeste,Automotivo,pneus,95.17,1,0.2,7.14
2019-11-24,2019-11-29,Entrega padrão,Maria Vitória Silveira,B2C,Santo André,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,11.23,1,0.2,3.65
2019-12-26,2019-12-31,Entrega padrão,Caio Oliveira,B2B,São Paulo,São Paulo,Sudeste,Materiais de construção,iluminação,142.66,2,0.0,37.09
2016-08-26,2016-08-28,Econômica,Fernando da Cunha,B2C,Curitiba,Paraná,Sul,Jardinagem e paisagismo,mudas,136.33,14,0.2,49.42
2016-08-26,2016-08-28,Econômica,Fernando da Cunha,B2C,Curitiba,Paraná,Sul,Jardinagem e paisagismo,fertilizantes,16.05,2,0.2,5.62
2016-08-26,2016-08-28,Econômica,Fernando da Cunha,B2C,Curitiba,Paraná,Sul,Jardinagem e paisagismo,pesticidas,81.52,3,0.2,25.47
2016-08-26,2016-08-28,Econômica,Fernando da Cunha,B2C,Curitiba,Paraná,Sul,Jardinagem e paisagismo,fertilizantes,443.58,6,0.2,149.71
2017-03-03,2017-03-07,Entrega padrão,Paulo Farias,B2C,Fortaleza,Ceará,Nordeste,Materiais de construção,materiais de revestimento,2677.6,3,0.0,562.3
2017-04-06,2017-04-11,Entrega padrão,Igor Sales,B2B,Americana,São Paulo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,536.5,1,0.7,-393.43
2018-06-13,2018-06-16,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Materiais de construção,iluminação,159.94,3,0.0,62.38
2018-06-13,2018-06-16,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Jardinagem e paisagismo,ferramentas de jardinagem,104.86,4,0.0,47.19
2018-06-13,2018-06-16,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Jardinagem e paisagismo,vasos,770.3,6,0.0,215.69
2018-06-13,2018-06-16,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Jardinagem e paisagismo,fertilizantes,391.07,9,0.0,175.98
2018-06-13,2018-06-16,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Automotivo,pneus,231.34,7,0.0,67.09
2016-12-27,2016-12-29,Econômica,Ana Sophia Teixeira,B2B,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,ferramentas,2041.9,3,0.3,-29.17
2016-09-21,2016-09-26,Entrega padrão,Maria Julia Nogueira,B2C,Parnamirim,Rio Grande do Norte,Nordeste,Materiais de construção,materiais de revestimento,2100.18,6,0.5,-1386.12
2019-11-06,2019-11-13,Entrega padrão,Pedro da Luz,B2C,Campo Grande,Mato Grosso do Sul,Centro-Oeste,Jardinagem e paisagismo,ferramentas de jardinagem,8.12,2,0.7,-6.22
2019-11-06,2019-11-13,Entrega padrão,Pedro da Luz,B2C,Campo Grande,Mato Grosso do Sul,Centro-Oeste,Jardinagem e paisagismo,vasos,829.57,7,0.2,103.7
2018-11-07,2018-11-11,Econômica,André da Mota,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,ferramentas,276.84,2,0.2,-31.14
2018-11-07,2018-11-11,Econômica,André da Mota,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,iluminação,811.1,3,0.0,89.22
2019-02-03,2019-02-06,Envio rápido,Renan Carvalho,B2B,Curitiba,Paraná,Sul,Automotivo,pneus,203.9,5,0.4,-40.78
2019-02-03,2019-02-06,Envio rápido,Renan Carvalho,B2B,Curitiba,Paraná,Sul,Jardinagem e paisagismo,pesticidas,266.23,2,0.2,99.84
2019-02-03,2019-02-06,Envio rápido,Renan Carvalho,B2B,Curitiba,Paraná,Sul,Jardinagem e paisagismo,mudas,72.95,9,0.2,23.71
2018-10-14,2018-10-20,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,pesticidas,68.14,3,0.0,32.71
2018-10-14,2018-10-20,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,pesticidas,120.5,1,0.0,56.63
2018-10-14,2018-10-20,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,39.17,4,0.0,11.75
2018-10-14,2018-10-20,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,mudas,13.67,2,0.0,6.7
2018-10-14,2018-10-20,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,259.0,3,0.2,90.65
2018-10-14,2018-10-20,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,materiais de paisagismo,223.99,6,0.0,62.72
2018-10-14,2018-10-20,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Materiais de construção,iluminação,146.61,14,0.0,70.37
2018-09-06,2018-09-08,Econômica,Breno Farias,B2B,Brasília,Distrito Federal,Centro-Oeste,Materiais de construção,iluminação,281.52,2,0.2,35.19
2019-09-19,2019-09-24,Entrega padrão,Enrico Teixeira,B2B,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,decoração de jardim,29.99,3,0.0,8.1
2019-09-19,2019-09-24,Entrega padrão,Enrico Teixeira,B2B,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,fertilizantes,36.92,3,0.0,17.35
2019-09-19,2019-09-24,Entrega padrão,Enrico Teixeira,B2B,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,pesticidas,488.58,3,0.0,234.52
2017-09-08,2017-09-13,Entrega padrão,Vinicius da Costa,B2C,Joinville,Santa Catarina,Sul,Jardinagem e paisagismo,vasos,2284.56,7,0.0,68.54
2016-10-23,2016-10-29,Entrega padrão,Calebe Monteiro,B2B,Campinas,São Paulo,Sudeste,Materiais de construção,iluminação,319.22,4,0.2,43.89
2018-12-06,2018-12-10,Entrega padrão,Gabriela Pires,B2B,Serra,Espírito Santo,Sudeste,Automotivo,pneus,1307.13,11,0.0,352.93
2018-12-06,2018-12-10,Entrega padrão,Gabriela Pires,B2B,Serra,Espírito Santo,Sudeste,Automotivo,pneus,509.9,3,0.0,20.4
2018-12-06,2018-12-10,Entrega padrão,Gabriela Pires,B2B,Serra,Espírito Santo,Sudeste,Materiais de construção,ferramentas,6636.26,8,0.0,1990.88
2018-12-06,2018-12-10,Entrega padrão,Gabriela Pires,B2B,Serra,Espírito Santo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,583.27,5,0.0,274.14
2018-03-14,2018-03-17,Envio rápido,Thiago Dias,B2B,Maracanaú,Ceará,Nordeste,Jardinagem e paisagismo,mobiliário de exterior,536.93,5,0.2,60.4
2018-03-14,2018-03-17,Envio rápido,Thiago Dias,B2B,Maracanaú,Ceará,Nordeste,Automotivo,pneus,690.83,2,0.2,51.81
2017-06-01,2017-06-03,Envio rápido,Pedro Miguel Rodrigues,B2B,Aparecida de Goiânia,Goiás,Centro-Oeste,Jardinagem e paisagismo,pesticidas,198.49,7,0.0,89.32
2017-06-01,2017-06-03,Envio rápido,Pedro Miguel Rodrigues,B2B,Aparecida de Goiânia,Goiás,Centro-Oeste,Jardinagem e paisagismo,pesticidas,358.77,4,0.0,165.03
2017-06-01,2017-06-03,Envio rápido,Pedro Miguel Rodrigues,B2B,Aparecida de Goiânia,Goiás,Centro-Oeste,Jardinagem e paisagismo,vasos,274.99,6,0.0,71.5
2017-05-29,2017-06-04,Entrega padrão,Daniel Martins,B2B,Fortaleza,Ceará,Nordeste,Jardinagem e paisagismo,decoração de jardim,22.54,3,0.0,6.09
2016-03-02,2016-03-07,Econômica,Antônio Novaes,B2C,Fortaleza,Ceará,Nordeste,Materiais de construção,ferramentas,1555.73,2,0.2,175.02
2018-05-12,2018-05-13,Envio rápido,Pedro Miguel Viana,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,20.33,1,0.0,9.15
2017-12-29,2018-01-01,Econômica,Rodrigo Vieira,B2C,Brasília,Distrito Federal,Centro-Oeste,Automotivo,ferramentas automotivas,184.91,2,0.2,4.62
2018-11-17,2018-11-21,Entrega padrão,Srta. Valentina Alves,B2C,Rio Claro,São Paulo,Sudeste,Jardinagem e paisagismo,fertilizantes,96.56,5,0.0,45.38
2018-11-08,2018-11-12,Entrega padrão,Gabrielly Rocha,B2C,Fortaleza,Ceará,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,94.11,2,0.2,32.94
2016-09-09,2016-09-13,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,33.78,3,0.2,9.29
2016-09-09,2016-09-13,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Automotivo,equipamentos de limpeza,27743.84,8,0.4,-4623.97
2016-09-09,2016-09-13,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Jardinagem e paisagismo,vasos,938.16,3,0.2,-199.36
2016-09-09,2016-09-13,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Materiais de construção,ferramentas,5916.2,9,0.3,-84.52
2016-09-09,2016-09-13,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,109.02,6,0.2,23.17
2016-09-09,2016-09-13,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Jardinagem e paisagismo,mobiliário de exterior,605.13,5,0.8,-1543.09
2016-09-09,2016-09-13,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Automotivo,pneus,489.52,3,0.2,30.59
2016-08-06,2016-08-10,Entrega padrão,Miguel Correia,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,71.2,3,0.0,33.46
